Daerah,Tahun,DAU,IPM,TPAK,APBD,LPE
Lombok Barat,2016,784.74,66.55,66.83,1575.14,5.7
Lombok Barat,2017,784.74,67.37,68.11,1603.2,6.54
Lombok Barat,2018,771.03,68.18,59.99,1747.3,0.57
Lombok Barat,2019,798.01,69.03,70.94,1964.65,3.84
Lombok Barat,2020,703.29,69.2,67.89,1840.98,-7.08
Lombok Tengah,2016,998.65,63.22,67.41,1850.27,5.65
Lombok Tengah,2017,998.65,64.36,69.31,1833.76,6.43
Lombok Tengah,2018,985.22,65.36,67.59,1972.16,3.14
Lombok Tengah,2019,1032.68,66.36,71.86,2152.69,4.06
Lombok Tengah,2020,957.31,66.43,75.04,2296.6,-6.68
Lombok Utara,2016,398.21,62.24,72.58,803.83,5.22
Lombok Utara,2017,412.63,63.04,70.9,841.68,6.14
Lombok Utara,2018,392.93,63.83,60.4,959.4,-0.87
Lombok Utara,2019,409.7,64.49,73.31,1130.31,5.88
Lombok Utara,2020,378.53,64.42,73.6,1041.62,-7.44
Lombok Timur,2016,1162.76,63.7,64.19,2378.11,5.23
Lombok Timur,2017,1162.76,64.37,67.78,2374.97,6.25
Lombok Timur,2018,1147.73,65.35,65.34,2596.17,3.4
Lombok Timur,2019,1193.78,66.23,66.5,2748.12,4.7
Lombok Timur,2020,1091.09,66.3,68.11,2748.12,-3.1
Sumbawa Barat,2016,402.62,69.26,70.91,825.53,5.55
Sumbawa Barat,2017,403.83,70.08,62.4,1073.58,5.95
Sumbawa Barat,2018,400.28,70.71,72.1,1270.04,5.53
Sumbawa Barat,2019,417.48,71.52,69.56,1061.46,4.82
Sumbawa Barat,2020,376.61,71.63,69.73,1051.93,-2.77
Sumbawa,2016,830.27,64.89,69.66,1523.35,5.42
Sumbawa,2017,875.37,65.84,66.79,1590.21,6.86
Sumbawa,2018,821.93,66.77,69.11,1632,4.16
Sumbawa,2019,853.8,67.6,67.23,1778.38,4.86
Sumbawa,2020,792.88,67.61,69.11,1791.42,-4.13
Kota Bima,2016,464.12,73.67,67.02,1096.19,5.79
Kota Bima,2017,464.12,74.36,72.35,782.04,6.65
Kota Bima,2018,455.97,75.04,66.68,783.52,4.74
Kota Bima,2019,484.76,75.8,72.2,769.99,5.22
Kota Bima,2020,442.04,75.81,74.24,819.54,-4.95
Dompu,2016,582.22,65.48,64,1096.19,5.19
Dompu,2017,582.29,66.33,64.99,977.98,6.75
Dompu,2018,572.06,66.97,65.98,1073.86,4.38
Dompu,2019,594.56,67.83,67.65,1194.94,4.45
Dompu,2020,546,67.84,70.06,1155.62,-3.21
Bima,2016,895.04,64.15,67.68,1623.87,5.3
Bima,2017,895.04,65.01,76.18,1639.84,6.27
Bima,2018,880.92,65.62,76.09,1778.71,4.04
Bima,2019,909.11,66.37,75.21,1873.2,4.26
Bima,2020,846.2,66.3,72.27,1890.81,-3.49
Mataram,2016,609.02,77.2,63.31,1309.96,8.01
Mataram,2017,653.13,77.84,64.53,1307.78,8.07
Mataram,2018,598.32,78.43,63.31,1412.05,4.95
Mataram,2019,634.38,79.1,64.87,1415.51,5.58
Mataram,2020,582.77,78.91,68.07,1504.22,-5.5
